Event,Gender,Year,Position,Athlete,Country,Time,Time(seconds)
"10,000 metres",Men,1972,1,Lasse Virén,FIN,27:38.35,1658.35
"10,000 metres",Men,1972,2,Miel Puttemans,BEL,27:39.58,1659.58
"10,000 metres",Men,1972,3,Miruts Yifter,ETH,27:40.96,1660.96
"10,000 metres",Men,1976,1,Lasse Virén,FIN,27:40.38,1660.38
"10,000 metres",Men,1976,2,Carlos Lopes,POR,27:45.17,1665.17
"10,000 metres",Men,1976,3,Brendan Foster,GBR,27:54.92,1674.92
"10,000 metres",Men,1980,1,Miruts Yifter,ETH,27:42.7,1662.7
"10,000 metres",Men,1980,2,Kaarlo Maaninka,FIN,27:44.3,1664.3
"10,000 metres",Men,1980,3,Mohamed Kedir,ETH,27:44.7,1664.7
"10,000 metres",Men,1984,1,Alberto Cova,ITA,27:47.54,1667.54
"10,000 metres",Men,1984,2,Mike McLeod,GBR,28:06.22,1686.22
"10,000 metres",Men,1984,3,Mike Musyoki,KEN,28:06.46,1686.46
"10,000 metres",Men,1988,1,Brahim Boutayeb,MAR,27:21.46,1641.46
"10,000 metres",Men,1988,2,Salvatore Antibo,ITA,27:23.55,1643.55
"10,000 metres",Men,1988,3,Kipkemboi Kimeli,KEN,27:25.16,1645.16
"10,000 metres",Men,1992,1,Khalid Skah,MAR,27:46.70,1666.7
"10,000 metres",Men,1992,2,Richard Chelimo,KEN,27:47.72,1667.72
"10,000 metres",Men,1992,3,Addis Abebe,ETH,28:00.07,1680.07
"10,000 metres",Men,1996,1,Haile Gebrselassie,ETH,27:07.34,1627.34
"10,000 metres",Men,1996,2,Paul Tergat,KEN,27:08.17,1628.17
"10,000 metres",Men,1996,3,Salah Hissou,MAR,27:24.67,1644.67
"10,000 metres",Men,2000,1,Haile Gebrselassie,ETH,27:18.20,1638.2
"10,000 metres",Men,2000,2,Paul Tergat,KEN,27:18.29,1638.29
"10,000 metres",Men,2000,3,Assefa Mezgebu,ETH,27:19.75,1639.75
"10,000 metres",Women,1988,1,Olga Bondarenko,URS,31:05.21,1865.21
"10,000 metres",Women,1988,2,Liz McColgan,GBR,31:08.44,1868.44
"10,000 metres",Women,1988,3,Yelena Zhupiyeva,URS,31:19.82,1879.82
"10,000 metres",Women,1992,1,Derartu Tulu,ETH,31:06.02,1866.02
"10,000 metres",Women,1992,2,Elana Meyer,RSA,31:11.75,1871.75
"10,000 metres",Women,1992,3,Lynn Jennings,USA,31:19.89,1879.89
"10,000 metres",Women,1996,1,Fernanda Ribeiro,POR,31:01.63,1861.63
"10,000 metres",Women,1996,2,Wang Junxia,CHN,31:02.58,1862.58
"10,000 metres",Women,1996,3,Gete Wami,ETH,31:06.65,1866.65
"10,000 metres",Women,2000,1,Derartu Tulu,ETH,30:17.49,1817.49
"10,000 metres",Women,2000,2,Gete Wami,ETH,30:22.48,1822.48
"10,000 metres",Women,2000,3,Fernanda Ribeiro,POR,30:22.88,1822.88
